file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,153,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,13
style.css,154,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,1,12
style.css,155,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,1,58
style.css,156,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,1,7
style.css,157,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,0
style.css,158,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,0
style.css,159,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,9
style.css,160,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,12
style.css,161,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,7
style.css,162,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,29
style.css,163,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,18
style.css,164,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,1,0
style.css,165,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,1,0
style.css,166,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,7
style.css,167,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,12
style.css,168,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,58
style.css,169,css,6abffcf2,Surya Setty,2025-04-19,22:32:44,-07:00,2025-04-19T22:32:44-07:00,1,0
style.css,170,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,0,0
